Cno,discription,command,harden_type,read1,read2,read3
2.1.1,Ensure 'FAILED_LOGIN_ATTEMPTS' Is Less than or Equal to '5'(Automated);Ensure 'PASSWORD_LOCK_TIME' Is Greater than or Equal to '1';Ensure 'PASSWORD_LIFE_TIME' Is Less than or Equal to '90'(Automated);Ensure 'PASSWORD_REUSE_MAX' Is Greater than or Equal to '20' (Automated);Ensure 'PASSWORD_REUSE_TIME' Is Greater than or Equal to '365'(Automated);Ensure 'PASSWORD_GRACE_TIME' Is Less than or Equal to '5'(Automated),ALTER PROFILE <read1> LIMIT <read2> <read3>;,Automatic_configuration,ZSMART,FAILED_LOGIN_ATTEMPTS;PASSWORD_LOCK_TIME;PASSWORD_LIFE_TIME;PASSWORD_REUSE_MAX;PASSWORD_REUSE_TIME;PASSWORD_GRACE_TIME,5;1;90;20;365;5
5.1.1.1,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "Network" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_LDAP;UTL_INADDR;UTL_TCP;UTL_MAIL;UTL_SMTP;UTL_DBWS;TL_ORAMTS;UTL_HTTP;HTTPURITYPE,,
5.1.1.2,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "File System" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_ADVISOR;DBMS_LOB;UTL_FILE,,
5.1.1.3,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "Encryption" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_CRYPTO;DBMS_OBFUSCATION_TOOLKIT;DBMS_RANDOM,,
5.1.1.4,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "Java" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_JAVA,,
5.1.1.5,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "Job Scheduler" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_JOB;DBMS_SCHEDULER,,
5.1.1.6,Ensure 'EXECUTE' is revoked from 'PUBLIC' on "SQL Injection Helper" Packages(Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_SQL;DBMS_XMLGEN;DBMS_XMLQUERY;DBMS_XMLSAVE;DBMS_XMLSTORE;DBMS_AW;OWA_UTIL;DBMS_REDACT,,
5.1.2.1,Ensure 'EXECUTE' is not granted to 'PUBLIC' on "Non-default" Packages (Automated),REVOKE EXECUTE ON <read1> FROM PUBLIC;,Automatic_configuration,DBMS_BACKUP_RESTORE;DBMS_FILE_TRANSFER;DBMS_SYS_SQL;DBMS_REPCAT_SQL_UTL;INITJVMAUX;DBMS_AQADM_SYS;DBMS_STREAMS_RPC;DBMS_PRVTAQIM;LTADM;DBMS_IJOB;DBMS_PDB_EXEC_SQL,,
2.2.3,Ensure 'GLOBAL_NAMES' Is Set to 'TRUE' (Automated),ALTER SYSTEM SET GLOBAL_NAMES = TRUE SCOPE = SPFILE;,option,,,
2.2.6,Ensure 'REMOTE_LOGIN_PASSWORDFILE' Is Set to 'NONE' (Automated),ALTER SYSTEM SET REMOTE_LOGIN_PASSWORDFILE = 'NONE' SCOPE = SPFILE;,option,,,
3.3,Ensure 'PASSWORD_LIFE_TIME' Is Less than or Equal to '90' (Automated),ALTER PROFILE <read1> LIMIT PASSWORD_LIFE_TIME 90;,option,ZSMART,,
3.4,Ensure 'PASSWORD_REUSE_MAX' Is Greater than or Equal to '20' (Automated),ALTER PROFILE <read1> LIMIT PASSWORD_REUSE_MAX 20;,option,ZSMART,,
3.5,Ensure 'PASSWORD_REUSE_TIME' Is Greater than or Equal to '365' (Automated),ALTER PROFILE <read1> LIMIT PASSWORD_REUSE_TIME 365;,option,ZSMART,,
3.6,Ensure 'PASSWORD_GRACE_TIME' Is Less than or Equal to '5' (Automated),ALTER PROFILE <read1> LIMIT PASSWORD_GRACE_TIME 5;,option,ZSMART,,
3.8,Ensure 'SESSIONS_PER_USER' Is Less than or Equal to '10' (Automated),ALTER PROFILE <read1> LIMIT SESSIONS_PER_USER 10;,option,ZSMART,,
6.1.1,Ensure the 'USER' Audit Option Is Enabled (Automated),AUDIT USER;,option,,,
6.1.2,Ensure the 'ROLE' Audit Option Is Enabled (Automated),AUDIT ROLE;,option,,,
6.1.3,Ensure the 'SYSTEM GRANT' Audit Option Is Enabled (Automated),AUDIT SYSTEM GRANT;,option,,,
6.1.4,Ensure the 'PROFILE' Audit Option Is Enabled (Automated),AUDIT PROFILE;,option,,,
6.1.5,Ensure the 'DATABASE LINK' Audit Option Is Enabled (Automated),AUDIT DATABASE LINK;,option,,,
6.1.6,Ensure the 'PUBLIC DATABASE LINK' Audit Option Is Enabled (Automated),AUDIT PUBLIC DATABASE LINK;,option,,,
6.1.7,Ensure the 'PUBLIC SYNONYM' Audit Option Is Enabled (Automated),AUDIT PUBLIC SYNONYM;,option,,,
6.1.8,Ensure the 'SYNONYM' Audit Option Is Enabled (Automated),"AUDIT SYNONYM;

",option,,,
6.1.9,Ensure the 'DIRECTORY' Audit Option Is Enabled (Automated),AUDIT DIRECTORY;,option,,,
6.1.10,Ensure the 'SELECT ANY DICTIONARY' Audit Option Is Enabled (Automated),AUDIT SELECT ANY DICTIONARY;,option,,,
6.1.11,Ensure the 'GRANT ANY OBJECT PRIVILEGE' Audit Option Is Enabled (Automated),AUDIT GRANT ANY OBJECT PRIVILEGE;,option,,,
6.1.12,Ensure the 'GRANT ANY PRIVILEGE' Audit Option Is Enabled (Automated),AUDIT GRANT ANY PRIVILEGE;,option,,,
6.1.13,Ensure the 'DROP ANY PROCEDURE' Audit Option Is Enabled (Automated),AUDIT DROP ANY PROCEDURE;,option,,,
6.1.14,Ensure the 'ALL' Audit Option on 'SYS.AUD$' Is Enabled (Automated),AUDIT ALL ON SYS.AUD$ BY ACCESS;,option,,,
6.1.15,Ensure the 'PROCEDURE' Audit Option Is Enabled (Automated),AUDIT PROCEDURE;,option,,,
6.1.16,Ensure the 'ALTER SYSTEM' Audit Option Is Enabled (Automated),"AUDIT ALTER SYSTEM;
",option,,,
6.1.17,Ensure the 'TRIGGER' Audit Option Is Enabled (Automated),AUDIT TRIGGER;,option,,,
6.1.18,Ensure the 'CREATE SESSION' Audit Option Is Enabled (Automated),AUDIT SESSION;,option,,,
6.2.1,Ensure the 'CREATE USER' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE USER;,option,,,
6.2.2,Ensure the 'ALTER USER' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER USER;,option,,,
6.2.3,Ensure the 'DROPUSER' Audit Option Is Enabled (Automated),,option,,,
6.2.4,Ensure the 'CREATE ROLE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE ROLE;,option,,,
6.2.5,Ensure the 'ALTER ROLE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER ROLE;,option,,,
6.2.6,Ensure the 'DROP ROLE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP ROLE;,option,,,
6.2.7,Ensure the 'GRANT' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS GRANT;,option,,,
6.2.8,Ensure the 'REVOKE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS REVOKE;,option,,,
6.2.9,Ensure the 'CREATE PROFILE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE PROFILE;,option,,,
6.2.10,Ensure the 'ALTER PROFILE' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER PROFILE;,option,,,
6.2.11,Ensure the 'DROPPROFILE' Action Audit Is Enabled (Automated),,option,,,
6.2.12,Ensure the 'CREATE DATABASE LINK' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE DATABASE LINK;,option,,,
6.2.13,Ensure the 'ALTER DATABASE LINK' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER DATABASE LINK;,option,,,
6.2.14,Ensure the 'DROP DATABASE LINK' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP DATABASE LINK;,option,,,
6.2.15,Ensure the 'CREATE SYNONYM' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE SYNONYM;,option,,,
6.2.16,Ensure the 'ALTER SYNONYM' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER SYNONYM;,option,,,
6.2.17,Ensure the 'DROPSYNONYM' Action Audit Is Enabled (Automated),,option,,,
6.2.18,Ensure the 'SELECT ANY DICTIONARY' Privilege Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD PRIVILEGES SELECT ANY DICTIONARY;,option,,,
6.2.19,Ensure the 'AUDSYS.AUD$UNIFIED' AccessAudit Is Enabled (Automated),,option,,,
6.2.20,Ensure the 'CREATE PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Automated),"ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE PROCEDURE,CREATE FUNCTION,CREATE PACKAGE,CREATE PACKAGE BODY;",option,,,
6.2.21,Ensure the 'ALTER PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Automated),"ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER PROCEDURE,ALTER FUNCTION,ALTER PACKAGE,ALTER PACKAGE BODY;",option,,,
6.2.22,Ensure the 'DROP PROCEDURE/FUNCTION/PACKAGE/PACKAGE BODY' Action Audit Is Enabled (Automated),"ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS DROP PROCEDURE,DROP FUNCTION,DROP PACKAGE,DROP PACKAGE BODY;",option,,,
6.2.23,Ensure the 'ALTER SYSTEM' Privilege Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER SYSTEM;,option,,,
6.2.24,Ensure the 'CREATE TRIGGER' Action Audit Is Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS CREATE TRIGGER;,option,,,
6.2.25,Ensure the 'ALTER TRIGGER' Action Audit IS Enabled (Automated),ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS ALTER TRIGGER;,option,,,
6.2.26,Ensure the 'DROPTRIGGER' Action Audit Is Enabled (Automated),,option,,,
6.2.27,Ensure the 'LOGON' AND 'LOGOFF' Actions Audit Is Enabled (Automated),"ALTER AUDIT POLICY CIS_UNIFIED_AUDIT_POLICY ADD ACTIONS LOGON,LOGOFF;",option,,,
